customer_id,name,email,country,registration_date,order_id,product_id,order_date,quantity,price,product_name,category,stock,review_id,rating,review_date
1,Sandra Flores,johnsonsean@yahoo.com,Lao People's Democratic Republic,2023-12-07,5447,476,2024-06-14,6,545.3,Ago Accessories,Electronics,241,,,
2,Rachael Howard,garcialaura@nguyen.biz,Saint Martin,2024-06-28,5713,194,2024-03-07,9,1253.7,On Clothing,Books,194,,,
2,Rachael Howard,garcialaura@nguyen.biz,Saint Martin,2024-06-28,5865,228,2024-02-13,2,26.6,Section Books,Books,174,,,
3,Sarah Solis,jane66@johnson.com,Vietnam,2022-09-10,4210,46,2024-04-27,8,1193.94,Son Accessories,Clothing,419,,,
3,Sarah Solis,jane66@johnson.com,Vietnam,2022-09-10,6310,79,2024-10-21,5,1371.25,Study Furniture,Electronics,456,,,
3,Sarah Solis,jane66@johnson.com,Vietnam,2022-09-10,8228,56,2024-01-23,9,922.25,Interesting Furniture,Accessories,91,,,
4,Robert Holloway,kevin55@hunt-cruz.net,Suriname,2021-05-21,2223,391,2024-05-18,3,109.71,Plant Books,Accessories,424,,,
5,Melissa Morris,michael10@yahoo.com,Hong Kong,2021-01-10,3178,240,2024-04-21,2,903.51,Him Clothing,Electronics,228,,,
5,Melissa Morris,michael10@yahoo.com,Hong Kong,2021-01-10,5975,347,2024-02-24,1,96.79,Control Furniture,Accessories,445,,,
5,Melissa Morris,michael10@yahoo.com,Hong Kong,2021-01-10,6379,261,2024-05-12,3,196.73,Stock Clothing,Books,16,,,
5,Melissa Morris,michael10@yahoo.com,Hong Kong,2021-01-10,9776,384,2024-06-27,1,1490.74,Experience Clothing,Accessories,306,,,
6,Jonathan Gibbs,wjohnson@hotmail.com,United States of America,2023-04-20,843,380,2024-03-22,9,514.28,Think Clothing,Furniture,295,,,
7,Craig Dunlap,sarahadams@moore.com,Uruguay,2023-04-16,1163,281,2024-06-05,2,399.67,Likely Clothing,Furniture,38,,,
8,Alan Hill,brownjade@yahoo.com,Zambia,2023-06-30,271,83,2024-09-26,3,1270.7,Experience Accessories,Electronics,136,,,
8,Alan Hill,brownjade@yahoo.com,Zambia,2023-06-30,349,492,2024-09-10,3,351.72,Hotel Accessories,Books,469,,,
8,Alan Hill,brownjade@yahoo.com,Zambia,2023-06-30,6320,380,2024-07-08,2,915.0,Think Clothing,Furniture,295,,,
8,Alan Hill,brownjade@yahoo.com,Zambia,2023-06-30,7515,295,2024-09-30,2,1314.69,Red Clothing,Clothing,61,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,379,291,2024-10-05,2,999.76,Summer Accessories,Clothing,480,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,2251,390,2024-09-30,3,1338.24,Whether Furniture,Clothing,162,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,3120,499,2024-08-18,5,417.6,Successful Furniture,Books,20,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,3478,16,2024-07-09,1,1105.89,Reason Accessories,Accessories,41,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,4605,470,2024-02-15,9,998.81,Significant Furniture,Accessories,285,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,5605,265,2024-07-08,8,536.83,Design Books,Furniture,308,,,
9,Mary Fritz,bowersamanda@yahoo.com,Croatia,2020-02-10,9413,13,2024-02-14,2,200.63,Blue Accessories,Accessories,467,,,
10,Megan Simmons,johnsonpamela@mitchell.net,Gibraltar,2023-06-01,2144,500,2024-04-20,8,1272.25,Partner Furniture,Accessories,241,,,
10,Megan Simmons,johnsonpamela@mitchell.net,Gibraltar,2023-06-01,2399,144,2024-02-02,8,78.07,Feel Clothing,Books,326,,,
