customer_id,customer_name,email,country,registration_date,product_id,product_name,category,stock,order_id,order_date,quantity,price,review_id,rating,review_date
1409,Haley Harrison,savannah01@horne-turner.info,Brazil,2022-12-08,1,Order Accessories,Books,304,833,2024-04-09,3,69.57,,,
1082,Brittany Green,gcollins@yahoo.com,Bolivia,2024-06-07,1,Order Accessories,Books,304,1346,2024-08-01,9,1148.69,,,
1778,Joseph Hall,kirsten48@hotmail.com,Luxembourg,2021-02-28,1,Order Accessories,Books,304,2086,2024-02-29,3,1069.05,,,
2174,Jamie Walter,brandycarter@turner.biz,Russian Federation,2023-10-29,1,Order Accessories,Books,304,2351,2024-02-10,5,872.62,,,
2968,Mrs. Elizabeth Bautista,sheila66@hotmail.com,Lao People's Democratic Republic,2020-06-07,1,Order Accessories,Books,304,3119,2024-03-12,8,660.53,,,
2345,Katelyn Coleman,ashleygreen@gmail.com,United States of America,2020-02-10,1,Order Accessories,Books,304,3596,2024-06-07,5,998.74,,,
2715,Vanessa Valencia,william39@anderson.com,Slovakia (Slovak Republic),2021-09-23,1,Order Accessories,Books,304,3835,2024-02-25,10,745.74,,,
301,Jeremy Long,dixonchristopher@gmail.com,Nepal,2024-10-23,1,Order Accessories,Books,304,4080,2024-03-12,3,503.08,,,
2008,Kara Thomas,williamschristie@anderson.org,Namibia,2022-02-04,1,Order Accessories,Books,304,5734,2024-01-29,10,176.63,,,
634,Kimberly Vazquez,hartmanbenjamin@yahoo.com,Martinique,2024-07-04,1,Order Accessories,Books,304,7121,2024-01-25,6,278.28,,,
1671,Douglas Wright,oclark@yahoo.com,Czech Republic,2022-10-04,1,Order Accessories,Books,304,8569,2024-02-17,10,1040.57,,,
2078,Thomas Weber,leslieperez@kerr-taylor.com,Liechtenstein,2024-08-21,1,Order Accessories,Books,304,9109,2024-07-23,6,560.23,,,
1042,Adriana Graham,catherinewatkins@trujillo-garcia.info,Bahrain,2023-07-20,1,Order Accessories,Books,304,9834,2024-09-24,1,1417.3,,,
2996,Joel Mullen,timothyoconnell@hubbard-lee.com,Panama,2020-02-20,2,Relationship Furniture,Books,302,592,2024-02-23,4,979.44,,,
865,Krystal Cooper,kelly48@ortega-woods.org,Syrian Arab Republic,2022-10-23,2,Relationship Furniture,Books,302,1138,2024-08-12,1,683.16,,,
1861,Isaiah Cordova,jessica92@finley-beck.net,Saudi Arabia,2020-02-29,2,Relationship Furniture,Books,302,1281,2024-05-24,6,426.1,,,
1010,Thomas Webb,amandamoore@yahoo.com,Japan,2023-12-10,2,Relationship Furniture,Books,302,1311,2024-05-07,4,445.99,,,
194,David Carrillo,jessica75@gmail.com,Kazakhstan,2020-07-09,2,Relationship Furniture,Books,302,2308,2024-10-03,10,332.21,,,
1808,Hunter Johnson,simmonsdaniel@martin.com,Ethiopia,2020-01-15,2,Relationship Furniture,Books,302,2581,2024-10-17,1,1255.99,,,
1145,Laura Rangel,uwilliams@gmail.com,Moldova,2024-05-19,2,Relationship Furniture,Books,302,2685,2024-02-04,1,612.41,,,
438,Monica Perkins,nhammond@gmail.com,Burkina Faso,2023-01-18,2,Relationship Furniture,Books,302,2925,2024-01-11,10,620.06,,,
671,Cory Shaffer,kevinmartinez@gmail.com,Greenland,2022-05-04,2,Relationship Furniture,Books,302,3169,2024-08-23,8,681.49,,,
